FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,long,lat,Location,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime
1005116,Ridge Ferry Park Farmer's Market,http://www.rfpra.com/spec-farmers.htm,,,,,393 Riverside Pkwy,Rome,Floyd,Georgia,30161,05/31/2014 to 10/04/2014,Wed: 7:00 AM-10:00 AM;Sat: 7:00 AM-10:00 AM;,,,,,,,-85.171650,34.268744,Local government building grounds,N,N,N,N,N,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,5/12/2014 2:25:47 PM
1005909,Brookwood Farmers Market,http://www.brookwoodfarmersmarket.com,,,,,Caney Road,Cumming,Forsyth,Georgia,30041,June to September,Fri:4:00 PM - 7:00 PM;,,,,,,,-84.1899215,34.1048891,Local government building grounds,Y,N,N,N,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,5/14/2012 3:18:29 PM
1008041,The Cumming Harvest,http://www.cumming.locallygrown.net,https://www.facebook.com/thecummingharvest,https://twitter.com/cummingharvest,,,"106 Colony Park Drive, Suite 100",Cumming,Forsyth,Georgia,30040,01/01/2013 to 12/31/2013,Sat: 9:30 AM-12:00 PM;,,,,,,,-84.1347550,34.1921340,Other,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,6/24/2013 7:11:35 PM
1002301,Lavonia Georgia Farmers Market,http://www.LavoniaEvents.com,,,,,East Main Street,Lavonia,Franklin,Georgia,30553,01/01/2014 to 12/31/2014,Wed: 7:00 AM-11:00 AM;Sat: 7:00 AM-11:00 AM;,,,,,,,-83.1038038,34.4314028,Other,N,Y,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N,3/13/2014 3:42:46 PM
1002940,Common Ground Farmers Market,http://riverside-farmers-market.org/,,,,,7741 Roswell Road,Atlanta,Fulton,Georgia,30350,,,,,,,,,-84.3625380,33.9646080,Local government building grounds,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,6/24/2013 3:25:49 PM
1018159,East Atlanta Village Farmers Market ,http://cfmatl.org/eav,https://www.facebook.com/EAVFarmersMarket,,,https://www.instagram.com/communityfarmersmarkets/?hl=en,572 Stokeswood Avenue,Atlanta,Fulton,Georgia,30316,04/13/2017 to 11/15/2018,Thu: 4:00 PM-8:00 PM;,,,,,,,-84.344531,33.738679,,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,N,Y,7/27/2018 8:32:40 AM
1012717,East Point Farmers Market ,http://www.downtowneastpoint.com/eastpointfarmersmarket/,https://www.facebook.com/search/top/?q=East%20Point%20Farmers%20Market,,,,2757 East Point St.,East Point ,Fulton,Georgia,30344,01/01/2016 to 12/31/2016,Wed: 4:00 PM-7:00 PM;,,,,,,,-84.441926,33.680029,,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,N,N,N,Y,7/21/2016 2:39:27 PM
1012567,Emory Farmers Market,http://www.emory.edu/dining/emory_farmers_market.php,https://www.facebook.com/EmoryFarmersMarket/,https://twitter.com/emoryfarmersmkt,,@EMORYFARMERSMKT,"569 Asbury Circle, Cox Hall Bridge",Atlanta,Fulton,Georgia,30322,01/01/2016 to 12/31/2016,Tue: 11:00 AM-3:00 PM;,,,,,,,-84.323671,33.792144,,Y,N,N,N,N,Y,Y,N,N,Y,N,N,Y,Y,Y,Y,N,Y,N,N,N,N,Y,Y,N,N,Y,N,Y,N,N,Y,N,N,N,7/14/2016 11:01:11 AM
1012685,Fairburn Farmers Market,http://www.fairburnfarmersmarket.com,Fairburn Farmers Market,,,,15 West Broad Street,Fairburn,Fulton,Georgia,30213,06/03/2016 to 08/26/2016,Fri: 4:00 PM-7:00 PM;,,,,,,,-84.5820820,33.5667880,,Y,N,N,N,N,-,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,7/18/2016 10:11:12 AM
1012429,Freedom Farmers Market at the Carter Center,http://www.freedomfarmersmkt.com,https://www.facebook.com/freedomfarmersmkt/,https://twitter.com/freedomfarmersm,,https://www.instagram.com/freedomfarmersmkt/,453 Freedom Pkwy NE,Atlanta,Fulton,Georgia,30307,01/01/2019 to 02/01/2019,Sat: 9:00 AM-12:00 PM;,03/01/2019 to 06/01/2019,Sat: 9:00 AM-1:00 PM;,07/01/2019 to 09/01/2019,Sat: 9:00 AM-1:00 PM;,10/01/2019 to 12/01/2019,Sat: 9:00 AM-1:00 PM;,-84.356820,33.767590,,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,12/21/2018 6:32:09 PM
1018611,Grant Park Farmers Market ,http://cfmatl.org/grantpark/,https://www.facebook.com/grantparkfarmersmarket,,,communityfarmersmarkets,600 Cherokee Avenue SE,Atlanta,Fulton,Georgia,30312,01/14/2018 to 12/16/2018,Sun: 9:00 AM-1:00 PM;,,,,,,,-84.373629,33.738909,,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,7/27/2018 8:43:13 AM
1004849,Green Market at Piedmont Park,http://www.piedmontpark.org/programs/green_market.html,https://www.facebook.com/greenmarketatl?ref=hl,,,https://www.facebook.com/pages/Piedmont-Park-Conservancy/112803705441290?ref=hl,1071 Piedmont Ave NE,Atlanta,Fulton,Georgia,30309,03/30/2019 to 11/23/2019,Sat: 9:00 AM-1:00 PM;,,,,,,,-84.378551,33.784257,,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N,Y,1/2/2019 12:41:39 PM
1006858,Midday Market @Atlanta Federal Center,http://www.staging.gsa.gov/portal/content/134303,,,,,61 Forsyth Street,Atlanta,Fulton,Georgia,30303,May to October,Wed:11:00 AM - 2:00 PM;,,,,,,,-84.3929595,33.7534749,Federal/State government building grounds,Y,N,N,N,N,-,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5/23/2012 5:07:09 PM
1004968,Morningside Farmers Market,http://www.morningsidemarket.com,,,,,1393 N. Highland Ave Atlanta GA 30306,Atlanta,Fulton,Georgia,30306,,,,,,,,,-84.3523,33.7922,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Jun  7 2010 12:46PM
1004272,Peachtree Road Farmers Market,http://www.peachtreeroadfarmersmarket.com,https://www.facebook.com/PtreeFarmersMkt,https://twitter.com/PtreeFarmersMkt,,www.peachtreeroadfarmersmarket.blogspot.com,2744 Peachtree Rd,Atlanta,Fulton,Georgia,30305,04/11/2015 to 12/19/2015,Sat: 8:30 AM-12:00 PM;,,,,,,,-84.386034,33.831906,,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,N,Y,3/19/2015 1:23:20 PM
1009975,Roswell Farmers and Artisans Market,http://www.roswellfam.com,https://www.facebook.com/roswelfam,https://twitter.com/roswellfam,,,38 Hill Street,Roswell,Fulton,Georgia,30075,05/01/2016 to 10/29/2016,Sat: 8:00 AM-12:00 PM;,,,,,,,-84.358985,34.021933,,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N,N,6/27/2016 6:54:17 PM
1018189,Serenbe Farmers Market,https://serenbefarms.com/market,Serenbe Farmers Market,,,Instagram: @serenbemarket,9110 Selbourne Ln,Chattahoochee Hills ,Fulton,Georgia,30268,04/08/2017 to 11/18/2017,Sat: 9:00 AM-1:00 PM;,,,,,,,-84.755446,33.560554,,Y,N,N,N,N,-,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,N,Y,N,Y,N,Y,N,N,N,N,6/20/2017 2:42:27 PM
1011955,Sweet Apple Farmers & Artisans Market,http://www.Sweetapplefarmersmarket.com,Sweet Apple Farmers & Artisans Market,,,,320 Hardscrabble Road,Roswell,Fulton,Georgia,30075,04/01/2016 to 12/31/2016,Thu: 2:00 PM-6:00 PM;,01/01/2016 to 03/31/2016,Thu: 2:00 PM-5:00 PM;,,,,,-84.367314,34.072239,,Y,N,N,N,N,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,N,N,N,N,5/15/2016 11:55:15 AM
1002629,SWOOM Farmers Market at Atwood Community Gardens,http://www.herbnfarmatl.locallygrown.net,,,,,779 Atwood Street SW,Atlanta,Fulton,Georgia,30310,05/01/2012 to 11/31/2012,,,,,,,,-84.4296899,33.7341430,"On a farm from: a barn, a greenhouse, a tent, a stand, etc",Y,Y,N,Y,Y,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3/14/2014 10:42:14 AM
1019697,The Fresh MARTA Market - Bankhead Rail Station   Wednesdays  3:00-7:00p.m.,https://www.itsmarta.com/marta-market.aspx,https://www.facebook.com/MARTAFresh/,,,,1335 Donald Lee Hollowell Parkway,Atlanta,Fulton,Georgia,,05/08/2019 to 12/04/2019,Wed: 3:00 PM-7:00 PM;,,,,,,,-84.426967,33.773326,,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,9/16/2019 4:45:39 PM
1019700,The Fresh MARTA Market - College Park Rail Station   Thursdays  3:00-7:00p.m.,https://www.itsmarta.com/marta-market.aspx,https://www.facebook.com/MARTAFresh/,,,,3800 Main Street,College Park ,Fulton,Georgia,30337,05/02/2019 to 12/05/2019,Thu: 3:00 PM-7:00 PM;,,,,,,,-84.46008,33.638149,,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,9/16/2019 4:41:20 PM
1019699,The Fresh MARTA Market - Five Points Rail Station   Fridays  3:00-7:00p.m.,https://www.itsmarta.com/marta-market.aspx,https://www.facebook.com/MARTAFresh/,,,,30 Alabama Street SW,Atlanta,Fulton,Georgia,30303,04/26/2019 to 12/06/2019,Fri: 3:00 PM-7:00 PM;,,,,,,,-84.390574,33.755202,,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,9/16/2019 4:35:02 PM
1019698,The Fresh MARTA Market - H.E. Holmes Rail Station   Wednesdays  3:00-7:00p.m.,https://www.itsmarta.com/marta-market.aspx,https://www.facebook.com/MARTAFresh/,,,,70 Hamilton E. Holmes,Atlanta,Fulton,Georgia,30311,05/01/2019 to 12/04/2019,Wed: 3:00 PM-7:00 PM;,,,,,,,-84.476405,33.764764,,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,9/16/2019 4:29:45 PM
1019696,The Fresh MARTA Market - Tuesdays - West End Station,https://www.itsmarta.com/marta-market.aspx,https://www.facebook.com/MARTAFresh/,,,,,Atlanta,Fulton,Georgia,,04/23/2019 to 12/03/2019,Tue: 3:00 PM-7:00 PM;,,,,,,,-84.416667,33.728652,,Y,N,N,N,Y,-,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,9/16/2019 4:36:48 PM
1004244,Gilmer County Farmers Market,,,,,,Broad Street,Ellijay,Gilmer,Georgia,30540,05/24/2014 to 10/04/2014,Sat: 8:00 AM-12:00 PM;,,,,,,,-84.482940,34.695193,"Faith-based institution (e.g., church, mosque, synagogue, temple)",N,N,N,N,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,3/31/2014 3:56:03 PM
1010051,Gordon Hospital's Creation Health Farmers Market,http://www.gordonhospital.com,Gordon Hospital,,,,1035 Red Bud Road,Calhoun ,Gordon,Georgia,30703,06/16/2016 to 08/18/2016,Thu: 5:00 PM-7:00 PM;,,,,,,,-84.926264,34.510188,,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,5/31/2016 11:20:45 AM
1002592,Cairo State Farmers Market,,,,,,1110 North Broad Street,Cairo,Grady,Georgia,31728,,,,,,,,,-84.208,30.8884,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1008950,Grayson Farmers' Market,,https://www.facebook.com/GraysonFarmersMarket,,,,475 Grayson Parkway,Grayson,Gwinnett,Georgia,30017,01/08/2014 to 03/05/2014,Wed: 3:30 PM-7:30 PM;,03/12/2014 to 09/24/2014,Wed: 4:00 PM-7:00 PM;,,,,,-83.9579741,33.8931891,Local government building grounds,Y,N,N,N,N,-,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,Y,Y,N,N,5/19/2014 10:40:56 AM
1010221,Lawrenceville Farmers Market,http://www.lawrencevillefarmersmarket.com/,https://www.facebook.com/LawrencevilleFarmersMarket,,,,153 East Crogan St.,LAwrenceville,Gwinnett,Georgia,30046,06/07/2014 to 09/06/2014,Sun: 8:00 AM-12:00 PM;,,,,,,,-83.9872750,33.9564261,Private business parking lot,Y,N,N,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,Y,N,5/23/2014 11:52:29 AM
1003895,Lilburn Farmers Market,http://www.lilburnfarmersmarket.org,https://www.facebook.com/pages/Lilburn-Farmers-Market/119935894713020,https://twitter.com/LilburnFarmMkt,,,1400 Killian Hill Road,Lilburn,Gwinnett,Georgia,30047,06/03/2016 to 08/26/2016,Fri: 4:00 PM-8:00 PM;,,,,,,,-84.081967,33.859596,,Y,N,N,N,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,N,N,2/23/2016 7:21:07 PM
1018216,Norcross Community Market,http://www.norcrosscommunitymarket.com/,https://www.facebook.com/norcrosscommunitymarket/,,,https://www.instagram.com/norcrosscommunitymarket/,5 College St.,Norcross ,Gwinnett,Georgia,30071,06/03/2017 to 08/26/2017,Sat: 9:00 AM-1:00 PM;,,,,,,,-84.211959,33.941514,,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,N,N,6/20/2017 4:04:41 PM
1004654,Norcross Whistle Stop Farmer's Market,http://www.whistlestopfarmersmarket.com,,,,,"74 Park Drive, Thrasher Park, on Buchanan Street next to the railroad tracks",Norcross,Gwinnett,Georgia,30071,May to October,Tue:4:00 pm - 8:00 pm;,,,,,,,-84.0235,33.9617,Local government building grounds,N,N,N,N,N,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,3/1/2012 11:26:23 AM
1001467,Snellville Farmers Market,http://www.snellvillefarmersmarket.com,https://www.facebook.com/pages/Snellville-Farmers-Market/347626962230,,,,2342 Oak Road,Snellville,Gwinnett,Georgia,30078,06/03/2016 to 09/24/2016,Sat: 8:30 AM-12:30 PM;,,,,,,,-84.0160570,33.8580211,,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,N,Y,6/27/2016 1:38:16 PM
1007379,Suwanee Farmers Market,http://www.suwanee.com,https://www.facebook.com/pages/City-of-Suwanee-Government/77661866892,,,,370 Highway 23,Suwanee,Gwinnett,Georgia,30024,05/03/2014 to 10/04/2014,Tue: 4:00 PM-7:00 PM;Sat: 8:00 AM-12:00 PM;,,,,,,,-84.063074,34.056513,Local government building grounds,N,N,N,N,N,N,Y,N,N,Y,Y,N,Y,N,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,5/12/2014 1:27:48 PM
1008001,Clarkesville Farmers Market,http://www.clarkesvillefarmersmarket.com,www.facebook.com/clarkesvillefarmersmarket,,,,583 Grant St,Clarkesville,Habersham,Georgia,30523,05/04/2013 to 10/26/2013,Sat: 9:00 AM-12:00 PM;,,,,,,,-83.519221,34.617520,Private business parking lot,N,N,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,N,Y,N,N,N,N,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,6/11/2013 10:15:50 PM
1003324,Northeast Georgia. Locally Grown.net - Habersham County site,http://www.northeastgeorgia.locallygrown.net,,,,,295 E. Green St.,Clarkesville,Habersham,Georgia,30523,April to December,Wed:5:00 PM - 7:00 PM;,,,,,,,-83.5231858,34.6164668,"Faith-based institution (e.g., church, mosque, synagogue, temple)",N,N,N,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,4/27/2012 11:10:58 PM
1005420,Downtown Gainesville Market On The Square,http://www.hallfarmers.org,https://www.facebook.com/hallfarmers,,,,Main Street and Spring Street,Gainesville,Hall,Georgia,30501,05/31/2013 to 10/04/2013,Fri: 2:30 PM-6:30 PM;,,,,,,,-83.8271383,34.2988379,Other,Y,N,N,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,4/1/2014 10:14:02 AM
1001481,Hall County Farmers Market,http://www.hallfarmers.org,,,,,Jesse Jewell Pkwy SE and E Crescent Drive,Gainsville,Hall,Georgia,30503,,,,,,,,,-83.7906,34.3156,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1010164,Northeast Georgia. Locally Grown.net - Hall County site,http://www.northeastgeorgia.locallygrown.net,,,,,322 Academy Street NE,Gainesville ,Hall,Georgia,30501,06/06/2014 to,Fri: 5:00 AM-7:00 PM;,,,,,,,-83.825185,34.302206,,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2013
1002551,Spout Springs Library Farmers Market,,https://www.facebook.com/SpoutspringsfarmersMarket,,,,6488 Spout Springs Road,Flowery Branch,Hall,Georgia,30542,05/02/2013 to 10/31/2013,Thu: 4:00 PM-7:00 PM;,,,,,,,-83.89486,34.15223,Other,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,6/27/2013 1:01:14 PM
1003665,Sewell Mill Community & Farmers Market,http://www.thesewellmill.org,https://www.facebook.com/pages/Sewell-Mill-Community-Farmers-Market/219477188119260,,,,126 Hamilton Ave,Bremen ,Haralson,Georgia,30110,05/01/2014 to 10/30/2014,Thu: 3:00 PM-6:00 PM;,,,,,,,-85.1459572,33.7215204,Other,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N,4/16/2014 2:19:42 PM
1003561,Callaway Gardens Farmers Market,http://www.callawaygardens.com/info/calendar/calendar.farmers-market.event.aspx,,,,,"U. S. Hwy. 27, Callaway Gardens Beach Gate",Pine Mountain,Harris,Georgia,31822,06/01/2012 to 10/31/2012,,,,,,,,-84.846618,32.847217,Other,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3/31/2014 3:49:02 PM
1001215,Oakhurst Farm Farmers Market,http://www.oakhurstfarmersmarket.com,,,,,19706 GA HWY 219,West Point,Harris,Georgia,31833,January to December,Mon:8:00 PM - 6:00 PM;Tue:8:00 AM - 6:00 PM;Wed:8:00 AM - 6:00 PM;Thu:8:00 AM - 6:00 PM;Fri:8:00 AM - 6:00 PM;Sat:8:00 AM - 6:00 PM;,,,,,,,-85.0357572,32.8644859,"On a farm from: a barn, a greenhouse, a tent, a stand, etc",Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,5/29/2012 4:46:18 PM
1001111,Hartwell Farmers Market,,,,,,Intersection of Carter & Howell Streets,Hartwell,Hart,Georgia,30643,April to November,Sat:7:00 AM - 12:00 PM;,,,,,,,-82.9308839,34.3522048,Private business parking lot,N,Y,Y,N,N,-,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,5/29/2012 3:25:57 PM
1018800,Centerville Farmer's Market ,http://www.centervillega.org/events/event/centerville-farmers-market/,https://www.facebook.com/CenterParkatCenterville/,,,,103 East Church Street,Warner Robins,Houston,Georgia,31028,08/12/2017 to 08/12/2017,Sat: 8:00 AM-12:00 PM;,,,,,,,-83.686354,32.624810,,Y,N,N,N,N,-,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,8/8/2017 10:05:59 AM
1003121,International City Farmers Market,http://www.landtohand.org/farmers-market/icfarmersmarket/,https://www.facebook.com/InternationalCityFarmersMarket?ref=br_tf,,,,105 Mulberry St (Perkins Field),Warner Robins,Houston,Georgia,31093,01/08/2015 to 12/22/2015,Thu: 1:00 PM-6:00 PM;,,,,,,,-83.610420,32.618882,,Y,N,N,N,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,Y,N,N,5/9/2016 12:26:55 PM
1010036,Perry Farmers' Market,http://www.downtownperry.com,,,,,1106 Meeting Street,Perry,Houston,Georgia,31069,05/03/2014 to 09/27/2014,Sat: 8:00 AM-12:00 PM;,,,,,,,-83.7318893,32.4602501,Local government building grounds,N,N,N,N,N,-,Y,Y,N,N,N,N,N,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,4/24/2014 11:48:35 AM
1011951,Jefferson Farmers Market,http://www.jeffersonfarmersmarket.com,www.facebook.com/Jefferson-Farmers-Market-1731029137110076/,,,,Sycamore & Gordon Street,Jefferson,Jackson,Georgia,30549,06/04/2016 to 09/24/2016,Sat: 8:00 AM-12:00 PM;,,,,,,,-83.572906,34.117327,,Y,N,N,N,N,-,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,Y,5/11/2016 4:48:32 PM
1019432,Monticello Market on the Square,https://jaspercountycoc.com/events/market-on-the-square/,https://www.facebook.com/monticellogafarmersmarket,,,,119 W Washington Street,Monticello,Jasper,Georgia,31064,05/04/2019 to 09/28/2019,Sat: 8:00 AM-12:30 PM;,,,,,,,-83.684074,33.304463,,Y,N,N,N,N,-,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,3/18/2019 2:50:25 PM
1010485,Millen Produce Market,,Main Street Millen,,,,Cotton Avenue,Millen ,Jenkins,Georgia,30442,05/01/2018 to 10/30/2018,Tue: 3:00 PM-6:00 PM;,,,,,,,-81.936127,32.802685,,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,7/27/2018 11:55:06 AM
1000353,Barnesville/Lamar County Farmers Market,,,,,,Market Street,Barnesville,Lamar,Georgia,30204,,,,,,,,,-84.1573,33.0515,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,May 19 2010  2:32PM
1007520,Market on Madison,,,,,,314 Madison Street,Dublin,Laurens County,Georgia,,,,,,,,,,-82.9058,32.5381,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
1019669,Hinesville Farmers Market ,,https://www.facebook.com/hinesvillefarmersmarket/?ref=aymt_homepage_panel&eid=ARD0szjrieT0U1nAUmLT5Gyh_giCODZ5TaoqN9AkJlW3lxm6eodoZSI-q1j5Dest8KQiuY-mukmFMDXS,,,,"S Commerce St, Hinesville, GA 31313",Hinesville,Liberty,Georgia,31313,03/07/2019 to 10/31/2019,Thu: 3:00 PM-7:00 PM;,,,,,,,-81.595690,31.846772,,Y,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,8/5/2019 12:01:25 PM
1000171,Downtown Valdosta Farm Days,http://www.valdostamainstreet.com/activities/farm-days/,,,,,100 E. Central Ave,Valdosta,Lowndes,Georgia,31601,05/04/2013 to 10/19/2013,Sat: 9:00 AM-1:00 PM;,,,,,,,-83.279103,30.832295,Local government building grounds,Y,N,N,N,Y,-,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,6/18/2013 11:02:41 AM
1004443,KNOW YOUR FARMER KNOW YOUR FOOD FARMERS MARKET,,,,,,1409 Old Lake Park Road,Valdosta,Lowndes,Georgia,31602,,,,,,,,,-83.2004,30.7396,Private business parking lot,N,Y,Y,Y,N,Y,N,Y,N,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,6/13/2011 5:40:44 PM
